"database","sumFormula","adduct","ion","mz","msmScore","rhoSpatial","rhoSpectral","rhoChaos","fdrLevel","off_sample_label","off_sample_prob"
"ChEBI","C15H25N5O6","-H","C15H25N5O6-H-",370.173207085,0.010001013,0.0109257041228782,0.949039056486416,0.964518331757538,0.5,"off",0.999970316886902
"ChEBI","C14H11NO2","-H","C14H11NO2-H-",224.071702157,0.0099779945,0.0106976392478079,0.956190229643818,0.97546346782988,0.5,"off",1
"ChEBI","C10H7NO4","-H","C10H7NO4-H-",204.030231269,0.0099622365,0.0104304462957926,0.968555491935028,0.986119234518496,0.5,"off",0.999999761581421
"ChEBI","C21H41O7P","-H","C21H41O7P-H-",435.251714217,0.009960958,0.0108730465366635,0.930762817544915,0.984262208067941,0.5,"on",0.0001691800862317
"ChEBI","C10H21NO3S","+Cl","C10H21NO3S+Cl-",270.093615999,0.009957472,0.0116330059336514,0.871087692790728,0.982641882818574,0.5,"off",0.99999988079071
"ChEBI","C11H8O4","-H","C11H8O4-H-",203.034982301,0.009937645,0.0105387266958516,0.96612385776042,0.976028522882371,0.5,"off",0.999999284744263
"ChEBI","C14H15N3O","+Cl","C14H15N3O+Cl-",276.090913397,0.009912746,0.0117888756902807,0.864358822693865,0.972808870116156,0.5,"off",1
"ChEBI","C14H16ClN3O","-H","C14H16ClN3O-H-",276.090913397,0.009912746,0.0117888756902807,0.864358822693865,0.972808870116156,0.5,"off",1
"ChEBI","C27H30O6","-H","C27H30O6-H-",449.196962245,0.009904322,0.0109301861096417,0.909647796348906,0.996148148148148,0.5,"off",0.999948978424072
"ChEBI","C14H28O8","+Cl","C14H28O8+Cl-",359.147819153,0.009865429,0.0114904619618484,0.864325266923396,0.993347690835128,0.5,"off",0.999965667724609
"ChEBI","C10H14O5","-H","C10H14O5-H-",213.076847113,0.009787296,0.0102995597453195,0.968430501467445,0.981240819752396,0.5,"off",0.999993324279785
"ChEBI","C8H7N3","-H","C8H7N3-H-",144.056720789,0.009756187,0.0100809153061576,0.974572203281611,0.993038617886179,0.5,"off",0.999948620796204
"ChEBI","C19H21ClN2O2S","-H","C19H21ClN2O2S-H-",375.093950347,0.009719653,0.0117529683144723,0.838857044023753,0.985859949596256,0.5,"off",0.995058178901672
"ChEBI","C14H20N4O4","+Cl","C14H20N4O4+Cl-",343.117856417,0.009716683,0.0113698415283674,0.868385366121552,0.984126984126984,0.5,"off",0.999970555305481
"ChEBI","C10H8O4","+Cl","C10H8O4+Cl-",227.011660033,0.0097162,0.0112329836819703,0.878635274000302,0.9844477028348,0.5,"off",1
"ChEBI","C12H23N3O3S","+Cl","C12H23N3O3S+Cl-",324.115414063,0.00969901,0.0113344742216855,0.856657542129177,0.998892580287929,0.5,"off",0.999975919723511
"ChEBI","C18H34N2O13","-H","C18H34N2O13-H-",485.198812713,0.009695153,0.0103408481921201,0.938477233008577,0.99902130109384,0.5,"off",0.999956130981445
"ChEBI","C13H17N5O7","-H","C13H17N5O7-H-",354.105521449,0.0096889,0.010151789162025,0.95787024008433,0.996380482906568,0.5,"off",0.999873638153076
"ChEBI","C21H25N3O2S","+Cl","C21H25N3O2S+Cl-",418.136149507,0.009675592,0.0118843877536041,0.832738637254733,0.977669387484239,0.5,"off",0.999997615814209
"ChEBI","C10H15N5O4","-H","C10H15N5O4-H-",268.105127525,0.0096731065,0.0100827532808495,0.970456412850921,0.9885776330076,0.5,"off",0.999987959861755
"ChEBI","C11H10O5","-H","C11H10O5-H-",221.045546985,0.009670987,0.0100439202185064,0.965971012286914,0.996789423984891,0.5,"off",0.997980773448944
"ChEBI","C6H12F3NOSi","+Cl","C6H12F3NOSi+Cl-",234.033426321,0.009658257,0.0110623425013634,0.877452143055883,0.995011737089202,0.5,"off",0.999998807907104
"ChEBI","C9H15N3O3S","-H","C9H15N3O3S-H-",244.076136075,0.009635452,0.0103285492883309,0.9609409373011,0.970814061054579,0.5,"off",0.999999523162842
"ChEBI","C28H36O7","-H","C28H36O7-H-",483.238827057,0.009629731,0.011009469249359,0.904511195811925,0.967016340528545,0.5,"off",0.999980449676514
"ChEBI","C17H32O9","-H","C17H32O9-H-",379.197356169,0.0096205305,0.0103423758712281,0.944325671292672,0.985046907907333,0.5,"off",0.999986171722412
"ChEBI","C3H7NO3S","-H","C3H7NO3S-H-",136.007387819,0.009581769,0.00984080554894786,0.978276310987261,0.995298816459639,0.5,"off",0.573614299297333
